,Name,Gender,Born in,Birth,Death,Age,Movies/Series
478,Kayvan Novak,M,"London, England, UK",23/11/1978,Alive,43.0,78
479,Ruby Rose,F,"Melbourne, Victoria, Australia",20/3/1986,Alive,36.0,25
480,Jean Louisa Kelly,F,"Worcester, Massachusetts, USA",9/3/1972,Alive,50.0,59
481,Molly McCook,F,"Los Angeles, California, USA",30/7/1990,Alive,32.0,32
482,Elisha Cuthbert,F,"Calgary, Alberta, Canada",30/11/1982,Alive,39.0,42
483,Sam Claflin,M,"Ipswich, Suffolk, England, UK",27/6/1986,Alive,36.0,34
484,Timothy Olyphant,M,"Honolulu, Hawaii, USA",20/5/1968,Alive,54.0,74
485,Harris Dickinson,M,"Leytonstone, Essex, England, UK",24/6/1996,Alive,26.0,23
486,Jai Courtney,M,"Sydney, New South Wales, Australia",15/3/1986,Alive,36.0,32
487,Diane Kruger,F,"Algermissen, Lower Saxony, West Germany",15/7/1976,Alive,46.0,57
488,J.K. Simmons,M,"Grosse Pointe, Michigan, USA",9/1/1955,Alive,67.0,221
489,Steve Martin,M,"Waco, Texas, USA",14/8/1945,Alive,76.0,68
490,Jenny Slate,F,"Milton, Massachusetts, USA",25/3/1982,Alive,40.0,75
491,Channing Tatum,M,"Cullman, Alabama, USA",26/4/1980,Alive,42.0,66
